vf	x	y	z
v	5.79E+00	-3.92E+00	-4.86E+00
v	8.33E+00	-4.81E+00	-4.78E+00
v	-1.47E+01	-3.73E+00	-1.62E+00
v	-1.38E+01	-2.41E+00	-3.40E+00
v	-1.62E+01	-2.59E+00	-2.60E+00
v	-1.14E+01	1.57E+00	-4.15E+00
v	-4.53E+00	7.06E+00	-2.37E+00
v	-6.57E-01	6.31E+00	-2.73E+00
v	1.22E+01	3.09E+00	-5.93E-01
v	1.06E+01	4.06E+00	4.40E-01
v	9.81E+00	1.88E+00	3.56E+00
v	-5.49E+00	5.10E+00	-3.61E+00
v	-3.98E+00	3.89E+00	-4.49E+00
v	-7.79E+00	4.00E+00	-3.61E+00
v	-6.18E+00	2.88E+00	-4.51E+00
v	9.10E+00	7.18E-01	-4.64E+00
v	1.68E+00	-4.54E+00	3.62E-01
v	1.91E+00	-3.80E+00	2.67E+00
v	-8.68E-01	-3.35E+00	5.13E-01
v	-2.42E+00	-3.19E+00	2.39E+00
v	1.15E+01	-1.52E+00	-3.77E+00
v	9.20E+00	-1.29E+00	-4.95E+00
v	1.06E+01	-5.75E+00	-4.27E+00
v	2.20E+00	-3.58E+00	-3.60E+00
v	-7.89E+00	6.35E+00	-1.58E+00
v	-1.53E+01	-5.86E-01	-3.23E+00
v	-1.01E+01	-3.73E-01	-4.60E+00
v	-7.81E+00	-1.31E+00	-4.50E+00
v	-4.71E+00	-1.49E+00	-4.72E+00
v	1.42E+01	-6.83E+00	-5.27E-01
v	1.35E+01	-3.77E-01	1.72E+00
v	-1.16E-01	-1.90E+00	-5.02E+00
v	-1.64E+00	-2.66E+00	-3.63E+00
v	6.53E-01	-1.50E+00	4.62E+00
v	5.27E+00	-5.87E+00	-1.63E+00
v	3.72E+00	-4.78E+00	-2.61E+00
v	-1.40E-01	-3.69E+00	-2.60E+00
v	3.01E+00	-2.40E+00	4.33E+00
v	-8.74E-01	-2.70E+00	3.59E+00
v	-6.25E+00	-2.80E+00	2.59E+00
v	9.11E+00	4.68E+00	1.34E+00
v	6.00E+00	3.87E+00	-1.49E+00
v	7.44E+00	2.72E+00	-2.59E+00
v	9.79E+00	3.12E+00	-1.59E+00
v	1.33E+01	-4.75E+00	-3.16E+00
v	7.63E+00	1.79E+00	4.70E+00
v	4.52E+00	4.29E+00	2.57E+00
v	4.43E+00	-4.86E+00	2.62E+00
v	6.58E+00	-5.01E+00	3.76E+00
v	-6.25E+00	-2.46E+00	-3.48E+00
v	1.15E+01	1.81E+00	-2.76E+00
v	-1.22E+01	4.60E+00	1.26E+00
v	-1.02E+01	5.51E+00	6.66E-01
v	-2.31E+00	-1.44E+00	4.50E+00
v	7.58E+00	-6.82E+00	2.54E+00
v	6.07E+00	-6.76E+00	4.71E-01
v	-9.31E+00	3.57E+00	4.14E+00
v	-7.01E+00	4.45E+00	3.94E+00
v	-4.76E+00	5.25E+00	3.79E+00
v	3.47E+00	-2.87E+00	-4.90E+00
v	-3.22E+00	6.21E+00	-3.66E+00
v	-1.58E+00	4.96E+00	-4.46E+00
v	-1.28E+01	-3.77E-01	-4.15E+00
v	-1.74E+01	-1.43E-01	4.66E-01
v	-1.71E+01	-2.76E+00	4.41E-01
v	-8.54E+00	-1.26E+00	4.37E+00
v	-1.08E+01	-4.78E-01	4.89E+00
v	-1.32E+01	7.53E-01	4.63E+00
v	-5.49E+00	-1.27E+00	4.35E+00
v	1.21E+01	-1.47E+00	3.44E+00
v	1.27E+01	-6.87E+00	3.45E+00
v	-7.78E+00	-3.35E+00	1.55E+00
v	-6.25E+00	-3.52E+00	-5.56E-01
v	-9.31E+00	-3.10E+00	-2.06E+00
v	-1.01E+01	-2.39E+00	3.31E+00
v	-1.24E+01	4.69E+00	-5.90E-01
v	-1.45E+01	3.54E+00	-3.05E-01
v	9.77E+00	-5.95E+00	4.63E+00
v	-1.09E+01	4.20E+00	2.61E+00
v	-1.07E+00	4.90E+00	4.10E+00
v	-6.23E+00	6.09E+00	2.55E+00
v	-3.93E+00	7.03E+00	2.38E+00
v	-1.43E+01	3.49E+00	1.48E+00
v	-1.14E+01	2.64E+00	4.29E+00
v	-6.34E+00	7.43E+00	-5.89E-01
v	-1.60E+01	-4.82E-01	3.36E+00
v	-1.45E+01	1.73E+00	3.45E+00
v	2.06E+00	3.88E+00	3.47E+00
v	3.71E+00	4.80E+00	4.90E-01
v	-4.71E+00	-3.32E+00	1.39E+00
v	1.45E+01	-2.59E+00	1.50E+00
v	-1.62E+01	1.78E+00	1.45E+00
v	-1.55E+01	-2.60E+00	2.51E+00
v	-1.39E+01	-3.68E+00	1.50E+00
v	-1.31E+01	-2.20E+00	3.17E+00
v	1.14E+01	-7.38E+00	-2.69E+00
v	-2.41E+00	6.17E+00	3.50E+00
v	4.48E+00	-3.65E+00	-4.61E+00
v	5.25E+00	-4.34E+00	-4.23E+00
v	5.25E+00	-3.24E+00	-5.24E+00
v	6.76E+00	-3.56E+00	-5.27E+00
v	6.84E+00	-4.68E+00	-4.55E+00
v	6.01E+00	-2.53E+00	-5.66E+00
v	7.55E+00	-4.16E+00	-5.08E+00
v	5.84E+00	-4.95E+00	-3.81E+00
v	7.55E+00	-5.34E+00	-4.15E+00
v	8.33E+00	-3.55E+00	-5.30E+00
v	9.25E+00	-5.69E+00	-4.25E+00
v	9.85E+00	-4.89E+00	-4.81E+00
v	9.27E+00	-3.90E+00	-5.10E+00
v	8.24E+00	-5.95E+00	-3.71E+00
v	-1.61E+01	-3.38E+00	-1.43E+00
v	-1.53E+01	-3.23E+00	-2.41E+00
v	-1.39E+01	-3.26E+00	-2.49E+00
v	-1.47E+01	-2.96E+00	-2.95E+00
v	-1.31E+01	-3.70E+00	-1.60E+00
v	-1.39E+01	-4.05E+00	-5.37E-01
v	-1.55E+01	-3.71E+00	-5.52E-01
v	-1.47E+01	-1.50E+00	-3.63E+00
v	-1.31E+01	-1.43E+00	-3.96E+00
v	-1.31E+01	-2.96E+00	-2.95E+00
v	-1.53E+01	-2.34E+00	-3.14E+00
v	-1.24E+01	-2.36E+00	-3.41E+00
v	-1.66E+01	-1.47E+00	-2.45E+00
v	-1.59E+01	-1.47E+00	-3.15E+00
